"ID","sex","LDSR_CERCZM_BLUP","SRSR_COLLGR_BLUP","LDSR_CORBNE_BLUP","ERSR_GIBBFU_BLUP","ERSR_GIBBZE_BLUP","LDSR_NLBR1_BLUP","LDSR_PUCCPY_BLUP","LDSR_TARSC_BLUP","YLD_BE_BLUP","AGSPP_BLUP","RTLP_BLUP","STLP_BLUP","TWT_BE_BLUP","MST_BE_BLUP"
1,"M",0.185719696961833,-1.48224394964033,0.219428419960315,1.72142211150072,0.509143126127161,0.932662546843798,-1.19261347177772,0.0852670255918352,-5.37467957250345,-0.11819453958146,1.34555885111722,1.73398723438202,-0.0410327441148435,-0.0819540998494957
2,"M",-0.253475919818933,-1.24523514744192,0.342686705607593,-0.152446710148605,-0.758069933061813,0.668126838171745,0.718560400815105,-0.0711786411256111,14.9600244515627,-5.92872623540575,1.44896548177396,1.10967867298254,0.529529030679298,1.62609947157794
3,"F",0.366665480441377,-0.340338537898006,0.335832042724297,-0.224171668242109,-1.07763721477276,0.223972140665206,1.05705593292036,0.0118673695047086,9.91481858656654,3.93257635312381,2.33951478954803,-0.900080616550742,0.211071109313208,-0.892573666480216
4,"M",0.388358071360536,-2.15165072245987,-0.811376493598357,0.399855877340224,0.0966540995222169,1.34743597661085,-0.022885198998665,-0.00538749571443495,4.20064177743841,-5.72057056960174,-2.21913031040147,0.623627044000129,-1.1149394804484,0.713059299083825
5,"F",-0.187598464038223,-2.55740720099163,-1.03895296884968,1.59251180498662,0.679283598849228,0.0983074361236506,-0.782883148850883,-0.0608965147201304,-0.442148586584257,-0.798183955050478,0.818639076902891,-1.02729009365333,-0.715195604966392,1.30921296837717
6,"M",-1.01569188724374,-0.743777380797761,0.290250597654763,0.403266428076478,-1.17880110585982,1.73724972871428,0.0128822296600714,-0.0467492995153162,15.1601693208435,10.8851323066977,5.26183575820054,0.0466766779563641,-0.033082440464379,0.617590855547285
7,"M",-0.0408213363399778,-0.0715092845956238,-0.497229025150255,0.595772231010236,0.788838572530396,0.316037462547633,-1.68202314894466,-0.029948284957025,-2.90421429166625,1.8189215010702,-2.22677167995965,1.67636097041394,0.816554440659163,-1.23967619334056
8,"F",-0.037122769328878,-0.822456550728747,-1.88890379988646,-0.471166209089048,1.73066926241213,-0.304271132620979,-0.56982126024351,0.0517545517168045,6.70965314917352,-11.5177896238419,-0.264916050226018,0.419069590488292,-2.07970183177706,-0.31369780091619
9,"M",-0.279350817204607,-1.04946494111387,0.320164357158743,-0.206717027666581,0.553064906410745,0.678500452792635,-1.38930452338239,-0.136999521923166,9.75834679391001,-0.483257158114058,-1.93349893445685,2.31276879743065,0.661823285746893,1.22650189882898
10,"M",0.579259217670646,0.329503980640313,-0.163963368592426,-0.442929125775895,1.34716285475079,0.596798511551735,-1.24593266173364,0.134382470644563,14.6165645830368,3.85940282746693,-0.78263471678694,-0.608001053582306,-0.707363003353776,2.0531637264608
11,"F",-0.0418100360825848,-1.19143185729219,0.781498254827097,0.0733876342042595,-1.10301730883628,0.185265306043009,1.88902057442561,0.154079912009407,-9.36546675387839,-7.27722020587658,-2.19251535238703,-0.326008956440517,0.85150879791824,-0.23192699485136
12,"F",-0.769691555383953,-1.176397227877,-0.332764546460438,1.60827182433403,1.57257696349907,0.108080410563366,-1.99056122195246,-0.222816723316307,-8.30602110735379,-10.1945410967724,2.07647827086545,-0.93973296742655,0.249560067859604,1.4900587120334
13,"M",0.746403324099044,-0.529307754099436,0.512863469435816,1.06128562671285,-0.336474302560672,0.423641453791716,0.111944246724497,-0.0413824463555153,6.20491859510348,1.32155813652448,0.492883573613936,-0.711759865569199,-1.74661864201674,1.219926321306
14,"M",-0.212005471116654,-0.978279054243339,-1.23040094406164,1.35432394874077,1.01241163374438,0.808922148954651,-0.892070414328694,-0.0363754902101566,3.2620658547367,-8.52539964248998,2.50272073402245,0.674273367260315,-2.20737736425913,1.76573603339474
15,"F",-0.535076619687644,1.05815284794368,-0.164982938209016,-0.694596418119161,0.835953578124461,0.0602482836434015,-0.699364964748786,-0.112920377028593,8.1128528049215,-6.19087040625246,2.15177533305882,-0.154148934725525,1.02315490508287,2.27406223534976
16,"F",-0.140386285600236,-0.864123693449053,-0.510748189075355,-1.02723607919433,0.578972126911276,-0.110603483031493,-0.648441233728112,-0.165613257619978,6.93960394643257,3.02833890644745,0.72478560538313,-0.738963264131932,-0.0845934725672689,-0.837982173334407
17,"F",-0.458644279206398,-0.365999507506045,-0.350862115235761,-0.840306092248311,0.655117441472115,0.726201475347848,-1.1161546892063,0.119437110794037,24.8368090090761,10.0863471926647,4.0212756698508,0.81719838544985,0.175172034507602,0.00286955512703396
18,"M",0.183359800318239,-1.22790829316081,0.341780020198523,1.17290487461375,-0.028135923143829,0.00821307548784891,0.263122371460056,-0.0552562034852788,2.06271311289597,-11.0339672391857,3.10645150920414,-2.22739040106107,-0.749323275865074,-1.6294790213927
19,"F",0.150029128633628,-0.561322899899124,-0.42942044804728,0.467435123091976,-0.434506212677218,-0.276995679022967,0.0717297319684045,0.0103577447292987,19.0283129082099,5.42473240286576,-4.54982812015573,-0.28616905612366,-0.8445167033145,0.889010542964974
20,"M",0.196219213212543,0.307645120277657,0.30356648965829,0.374845470726619,0.640197829364916,-0.0106101700306359,-0.693642353504115,0.0114836232472864,9.03160743332175,-7.93266163906214,-0.486622941373921,0.229640630118556,0.358817523744431,0.483037788374069
21,"F",0.607442549184067,0.116522207155084,-0.53171069693977,0.0171891367995664,1.67676042968245,0.269693201865615,-1.82811914668595,0.0511951423394026,4.84897968852294,-2.38506403094341,4.86172818704634,0.287263966442867,0.924128957196374,-1.68291998532075
22,"F",0.40661844536324,-1.40091953617174,-0.00231671964891687,0.311611753857654,0.672727729380536,0.781833668224055,-0.968222452832942,0.135097119093866,9.4811415750302,6.78292070191467,-1.96631104961202,1.47245364615674,-0.908283615671629,1.83602640502067
23,"F",-0.343743413629587,-1.77280639390142,-0.275218644868561,2.12156912108444,-0.177814038105248,0.234598400584019,-0.520192920999572,0.034467353456533,11.7013898912545,1.39964449704509,-1.00040571110656,1.23080185945765,-0.939207700074501,1.89362979976537
24,"M",0.436498698067534,-1.77822581568139,0.322512704304105,-1.07176444491066,1.57187603743109,-0.457472431878331,-1.17848842574921,0.0262489323201027,8.27240752328613,6.70031977840385,1.69213159791287,-0.0610538555941497,0.117465784696284,1.60983914515928
25,"M",0.52777845757459,-0.457787655347478,-0.0545338412013262,1.49355028570071,0.276185798059339,0.77957880723904,-0.668899524212548,-0.00676160170323142,1.89609841867978,-3.66709172385908,1.93526739001115,0.471021777430246,-1.08102578772567,0.332059784370042
26,"F",0.0412396081728063,-0.3479735841851,-0.716039309612722,0.465923525762674,0.926229636452228,-1.08586886437756,-0.611397311724107,0.068764095412595,11.2972314063543,5.47598578557803,0.590149729050625,-0.193707275383198,-0.76416826675351,2.3976585130849
27,"M",0.0515585662929209,-0.289920407920528,-1.04533888915024,0.0877046652207365,0.798506037535555,0.336152830897004,-0.768299820712387,0.124369228628364,-8.16331244227204,4.32930096951959,-4.92512320554013,-0.159320412696869,1.31994733919023,1.61584551998371
28,"F",-0.411102768721744,-2.55827496358127,-1.48639791831884,0.583473657967651,0.574317424950835,-0.542399117806861,-0.642111938718574,-0.0693116462589659,5.50189345710377,3.78554935920339,0.987151256457113,1.67157024768504,-0.702031213508562,0.478603669005519
29,"F",0.255336398042779,-0.455464176609921,-0.470233402643618,0.14870858669702,-0.00992853921492554,0.659368157705296,0.595176529910857,0.176295302566632,8.98651505873619,-5.68201898895497,0.168726245881111,-0.850750239472393,-0.355489447204144,0.275012723401434
30,"F",0.0301529856658605,-1.69984688010348,0.959643810602895,-0.525697108778372,0.784385744314352,-0.0144984039614189,-0.193887403849695,0.175674012362,-2.15567624882269,-6.60471589278036,-4.29211041558389,-0.680996231687619,1.00331422098806,-0.712927916695192
31,"F",0.305762532557119,0.156985619287791,0.607319430607201,-0.318534068337441,1.22629906986078,0.0388074312130051,-1.2032916399528,0.131864093414896,-7.17468508608092,10.660582923682,2.40375834545063,0.140530837783407,0.337838835390802,1.08762145815966
32,"F",0.373052144595128,0.599299543910419,0.243630019121291,0.658828942497193,-0.316045320892595,-0.135390812208611,0.540089703696828,0.108966881806632,-6.21498150444956,4.62456570055115,-0.540980848547317,-2.14205573574788,-0.405791277694383,0.252141606282075
33,"F",-0.646597049989508,-1.48507566225142,-0.80549670353164,-0.152904912921673,0.612212522007889,0.347686603443269,-0.236110693344001,0.0419579883182189,1.87412436888245,0.956904678861703,7.01515251708279,-0.0756879969611186,-0.0322852055022586,-0.321523165911425
34,"M",0.154848391936395,-0.323216882524286,-0.687276352709057,-1.41995711350159,0.226208783733868,-0.00599914372584168,0.307622603735791,-0.136496427264321,16.3131125205416,-1.64290364398903,1.77268575235112,-1.60196215514452,-0.336987949907425,0.661593154903117
35,"F",-0.952128188869288,-0.721815747154778,0.26154628469296,0.76020991144754,0.775421659901481,0.00360298169234036,-1.91348473850198,-0.0488646968856791,14.378136551083,8.76830995312182,1.07922470832355,-1.25266406345811,-0.228557938669506,-0.852536632943157
36,"M",-0.435841831715431,-0.891173811124783,-1.11411035701539,0.886801539434377,0.0766643300250425,0.0934291709681569,-0.19717788324218,-0.132103560695631,5.10394038995418,1.38684665887924,2.81450394945389,-0.272779704732083,-1.07318318977927,1.92805970534182
37,"M",-0.451279298538814,-0.311440967962322,-0.545418120278818,-0.245486472005951,-0.936061645251179,0.168257279447966,0.585003679558907,-0.123866115263181,18.3829385540679,9.1711699535154,-3.33837283227894,-2.35945560321934,-0.446801656579372,2.42735544512713
