# http://127.0.0.1:3920 --workers 1 --loaded-duration-minutes 2 --output-dir run_1_users_4min --overwrite-output
# {"appUrl":"http://127.0.0.1:3920","debugLog":false,"loadedDurationMinutes":2.0,"logLevel":"WARN","outputDir":"run_1_users_4min","overwriteOutput":true,"recordingPath":"./perf_test/recording.log","workers":1}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
0,0,0,PLAYER_SESSION_CREATE,1643854933618,0,
0,0,0,REQ_HOME_START,1643854933618,4,
0,0,0,REQ_HOME_END,1643854934733,4,
0,0,0,WS_OPEN_START,1643854934733,5,
0,0,0,WS_OPEN_END,1643854934759,5,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854934759,6,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854934822,6,
0,0,0,WS_SEND_START,1643854934822,6,
0,0,0,WS_SEND_END,1643854934825,6,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854934825,7,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854934843,7,
0,0,0,WS_SEND_START,1643854934843,7,
0,0,0,WS_SEND_END,1643854934843,7,
0,0,0,WS_RECV_INIT_START,1643854934843,8,
0,0,0,WS_RECV_INIT_END,1643854934843,8,
0,0,0,WS_RECV_START,1643854934843,9,
0,0,0,WS_RECV_END,1643854934916,9,
0,0,0,WS_RECV_START,1643854934916,10,
0,0,0,WS_RECV_END,1643854937135,10,
0,0,0,WS_RECV_START,1643854937135,11,
0,0,0,WS_RECV_END,1643854937261,11,
0,0,0,WS_RECV_START,1643854937261,12,
0,0,0,WS_RECV_END,1643854937265,12,
0,0,0,WS_RECV_START,1643854937265,13,
0,0,0,WS_RECV_END,1643854937269,13,
0,0,0,WS_RECV_START,1643854937269,14,
0,0,0,WS_RECV_END,1643854937297,14,
0,0,0,WS_RECV_START,1643854937297,15,
0,0,0,WS_RECV_END,1643854937500,15,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854937500,16,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854937529,16,
0,0,0,REQ_GET_START,1643854937529,16,
0,0,0,REQ_GET_END,1643854937541,16,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854937541,17,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854937554,17,
0,0,0,REQ_GET_START,1643854937554,17,
0,0,0,REQ_GET_END,1643854937566,17,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854937566,18,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854937604,18,
0,0,0,REQ_GET_START,1643854937604,18,
0,0,0,REQ_GET_END,1643854937608,18,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854937608,19,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854937625,19,
0,0,0,REQ_GET_START,1643854937625,19,
0,0,0,REQ_GET_END,1643854937642,19,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854937642,20,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854937720,20,
0,0,0,WS_SEND_START,1643854937720,20,
0,0,0,WS_SEND_END,1643854937720,20,
0,0,0,WS_RECV_START,1643854937720,21,
0,0,0,WS_RECV_END,1643854937764,21,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854937764,22,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854943475,22,
0,0,0,WS_SEND_START,1643854943475,22,
0,0,0,WS_SEND_END,1643854943475,22,
0,0,0,WS_RECV_BEGIN_UPLOAD_START,1643854943475,23,
0,0,0,WS_RECV_BEGIN_UPLOAD_END,1643854943479,23,
0,0,0,REQ_POST_START,1643854943483,24,
0,0,0,REQ_POST_END,1643854943506,24,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854943506,25,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854943547,25,
0,0,0,WS_SEND_START,1643854943547,25,
0,0,0,WS_SEND_END,1643854943547,25,
0,0,0,WS_RECV_START,1643854943547,26,
0,0,0,WS_RECV_END,1643854943555,26,
0,0,0,WS_RECV_START,1643854943555,27,
0,0,0,WS_RECV_END,1643854943918,27,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854943918,28,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854946766,28,
0,0,0,WS_SEND_START,1643854946766,28,
0,0,0,WS_SEND_END,1643854946766,28,
0,0,0,WS_RECV_BEGIN_UPLOAD_START,1643854946766,29,
0,0,0,WS_RECV_BEGIN_UPLOAD_END,1643854946769,29,
0,0,0,REQ_POST_START,1643854946769,30,
0,0,0,REQ_POST_END,1643854946801,30,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854946801,31,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854946974,31,
0,0,0,WS_SEND_START,1643854946974,31,
0,0,0,WS_SEND_END,1643854946974,31,
0,0,0,WS_RECV_START,1643854946974,32,
0,0,0,WS_RECV_END,1643854946982,32,
0,0,0,WS_RECV_START,1643854946982,33,
0,0,0,WS_RECV_END,1643854947165,33,
0,0,0,PLAYBACK_SLEEPBEFORE_START,1643854947165,34,
0,0,0,PLAYBACK_SLEEPBEFORE_END,1643854950795,34,
0,0,0,WS_SEND_START,1643854950795,34,
0,0,0,WS_SEND_END,1643854950795,34,
0,0,0,WS_RECV_BEGIN_UPLOAD_START,1643854950795,35,
0,0,0,WS_RECV_BEGIN_UPLOAD_END,1643854950800,35,
0,0,0,REQ_POST_START,1643854950800,36,
